station_id,longitude,latitude,Z.Elev,date,pH,Aldrin,BHC,Dieldrin,DDTs,Heptachlor,Heptachlorepoxide,As,Cd,Pb,Cr6,Cu,Zn,Hg,DO,T,BOD5,COD,TOC,N_NH4,N_NO3,N_NO2,P_PO4,Coliform,Ecoli,WQI,Note,WQI_Level,WQI_Color
QLPH022016,105.53,9.26,0.54,16/5/2016,7.14,0.019,0.019,0.017,0.018,0.034,0.011,0.019,0.007,0.004,0.006,0.003,0.02,0.001,6.285,25,9.0,19.505,15.459,0.37,0.37,0.14,0.0,2500.0,25,73,,Trung bình,"RGB(255,255,0)"
QLPH022016,105.53,9.26,0.54,2/6/2016,7.06,0.018,0.016,0.013,0.016,0.027,0.011,0.014,0.008,0.001,0.01,0.003,0.01,0.001,4.825,25,10.0,17.132,12.521,0.23,0.13,0.26,0.0,2800.0,13,74,,Trung bình,"RGB(255,255,0)"
QLPH022016,105.53,9.26,0.54,15/6/2016,6.98,0.018,0.022,0.02,0.024,0.029,0.011,0.017,0.006,0.002,0.008,0.004,0.025,0.001,5.645,25,8.74,18.585,14.209,0.7,0.16,0.2,0.0,3500.0,31,39,,Xấu,"RGB(255,126,0)"
QLPH032016,105.41,9.23,0.57,29/2/2016,7.79,0.021,0.025,0.024,0.028,0.029,0.012,0.018,0.005,0.002,0.015,0.001,0.028,0.002,6.073,25,7.35,18.751,14.902,0.638,0.21,0.38,0.0,700.0,35,33,,Xấu,"RGB(255,126,0)"
QLPH032016,105.41,9.23,0.57,15/3/2016,7.77,0.02,0.017,0.016,0.017,0.028,0.012,0.017,0.004,0.004,0.012,0.005,0.01,0.002,5.58,25,6.18,16.408,13.425,0.24,0.38,0.3,0.0,4700.0,12,64,,Trung bình,"RGB(255,255,0)"
QLPH032016,105.41,9.23,0.57,2/4/2016,7.65,0.018,0.038,0.036,0.043,0.03,0.011,0.017,0.005,0.005,0.01,0.001,0.055,0.002,5.513,25,7.02,19.093,14.17,0.825,0.45,0.25,0.0,1300.0,69,31,,Xấu,"RGB(255,126,0)"
QLPH032016,105.41,9.23,0.57,15/4/2016,7.65,0.024,0.021,0.019,0.018,0.039,0.014,0.017,0.006,0.01,0.012,0.003,0.012,0.002,5.813,25,8.7,18.17,14.329,0.9,0.99,0.3,0.0,2500.0,15,33,,Xấu,"RGB(255,126,0)"
QLPH032016,105.41,9.23,0.57,2/5/2016,7.85,0.023,0.034,0.032,0.038,0.031,0.014,0.017,0.005,0.004,0.012,0.008,0.039,0.002,5.825,25,7.28,18.897,14.577,0.75,0.44,0.3,0.0,7600.0,49,27,,Xấu,"RGB(255,126,0)"
QLPH032016,105.41,9.23,0.57,16/5/2016,7.71,0.021,0.017,0.015,0.013,0.037,0.013,0.018,0.005,0.008,0.01,0.001,0.009,0.002,6.053,25,7.62,17.854,14.589,0.36,0.83,0.24,0.0,1300.0,11,63,,Trung bình,"RGB(255,255,0)"
QLPH032016,105.41,9.23,0.57,2/6/2016,7.27,0.022,0.031,0.029,0.033,0.031,0.013,0.016,0.006,0.004,0.014,0.004,0.034,0.001,5.493,25,8.65,18.792,14.045,0.26,0.4,0.35,0.0,3500.0,43,40,,Xấu,"RGB(255,126,0)"
QLPH032016,105.41,9.23,0.57,15/6/2016,7.5,0.024,0.034,0.031,0.033,0.039,0.015,0.017,0.008,0.009,0.01,0.005,0.036,0.002,5.7,25,10.0,19.888,14.702,0.48,0.85,0.25,0.0,5400.0,45,28,,Xấu,"RGB(255,126,0)"
QLPH042016,105.31,9.19,0.41,29/2/2016,7.76,0.021,0.02,0.019,0.022,0.026,0.013,0.015,0.005,0.002,0.012,0.008,0.014,0.002,5.165,25,7.12,16.453,12.817,0.688,0.24,0.29,0.0,7900.0,18,53,,Trung bình,"RGB(255,255,0)"
QLPH042016,105.31,9.19,0.41,15/3/2016,7.82,0.018,0.033,0.032,0.038,0.025,0.011,0.014,0.004,0.004,0.014,0.001,0.043,0.002,4.655,25,6.14,16.634,12.109,0.29,0.35,0.35,0.0,1300.0,54,35,,Xấu,"RGB(255,126,0)"
QLPH042016,105.31,9.19,0.41,2/4/2016,7.79,0.021,0.019,0.017,0.018,0.032,0.012,0.018,0.004,0.006,0.012,0.002,0.014,0.002,5.885,25,6.64,17.341,14.177,0.788,0.563,0.29,0.0,2100.0,17,63,,Trung bình,"RGB(255,255,0)"
QLPH042016,105.31,9.19,0.41,15/4/2016,7.84,0.023,0.021,0.019,0.02,0.036,0.014,0.018,0.005,0.007,0.009,0.007,0.014,0.002,6.085,25,7.98,18.378,14.803,0.8,0.7,0.22,0.0,6900.0,18,30,,Xấu,"RGB(255,126,0)"
QLPH042016,105.31,9.19,0.41,2/5/2016,7.87,0.019,0.049,0.047,0.055,0.031,0.011,0.016,0.006,0.005,0.007,0.003,0.076,0.002,5.343,25,8.3,20.54,14.371,0.25,0.51,0.18,0.0,3300.0,95,30,,Xấu,"RGB(255,126,0)"
QLPH042016,105.31,9.19,0.41,16/5/2016,7.77,0.019,0.036,0.034,0.038,0.036,0.012,0.017,0.005,0.008,0.006,0.002,0.051,0.002,5.768,25,7.97,19.774,14.767,0.36,0.77,0.15,0.0,2200.0,64,32,,Xấu,"RGB(255,126,0)"
QLPH042016,105.31,9.19,0.41,2/6/2016,7.39,0.024,0.041,0.038,0.045,0.032,0.014,0.017,0.006,0.004,0.015,0.005,0.051,0.001,5.71,25,8.98,20.185,14.811,0.63,0.36,0.38,0.0,4900.0,64,34,,Xấu,"RGB(255,126,0)"
QLPH042016,105.31,9.19,0.41,15/6/2016,7.54,0.028,0.026,0.024,0.024,0.041,0.017,0.02,0.005,0.01,0.017,0.004,0.017,0.002,6.76,25,7.98,19.6,16.201,0.41,0.95,0.42,0.0,3500.0,21,33,,Xấu,"RGB(255,126,0)"
QLPH052016,105.59,9.56,0.32,29/2/2016,7.61,0.02,0.013,0.011,0.012,0.027,0.012,0.015,0.006,0.003,0.014,0.003,0.001,0.002,4.903,25,8.25,15.883,12.243,0.738,0.3,0.34,0.0,2900.0,1,59,,Trung bình,"RGB(255,255,0)"
QLPH052016,105.59,9.56,0.32,15/3/2016,7.56,0.022,0.019,0.018,0.021,0.025,0.013,0.015,0.004,0.003,0.016,0.008,0.009,0.002,5.003,25,6.14,15.407,12.243,0.24,0.26,0.4,0.0,7600.0,11,58,,Trung bình,"RGB(255,255,0)"
QLPH052016,105.59,9.56,0.32,2/4/2016,7.48,0.024,0.029,0.027,0.032,0.03,0.015,0.017,0.005,0.003,0.014,0.01,0.026,0.001,5.695,25,7.92,18.339,14.206,0.113,0.338,0.34,0.0,9500.0,33,34,,Xấu,"RGB(255,126,0)"
QLPH052016,105.59,9.56,0.32,15/4/2016,7.9,0.023,0.023,0.02,0.024,0.03,0.014,0.017,0.008,0.001,0.011,0.01,0.017,0.002,5.8,25,10.0,19.05,14.588,0.7,0.11,0.27,0.0,9500.0,21,26,,Xấu,"RGB(255,126,0)"
QLPH052016,105.59,9.56,0.32,2/5/2016,8.15,0.022,0.018,0.016,0.015,0.039,0.013,0.018,0.006,0.009,0.008,0.002,0.012,0.002,6.163,25,8.64,18.709,15.024,0.5,0.89,0.2,0.0,1800.0,15,61,,Trung bình,"RGB(255,255,0)"
QLPH052016,105.59,9.56,0.32,16/5/2016,7.47,0.018,0.039,0.037,0.045,0.027,0.011,0.016,0.006,0.002,0.009,0.004,0.058,0.001,5.318,25,8.46,19.621,14.044,0.4,0.15,0.23,0.0,4300.0,72,36,,Xấu,"RGB(255,126,0)"
QLPH052016,105.59,9.56,0.32,2/6/2016,6.73,0.025,0.02,0.017,0.021,0.03,0.015,0.019,0.005,0.001,0.019,0.004,0.009,0.001,6.258,25,7.98,18.367,15.059,0.79,0.13,0.48,0.0,4300.0,11,68,,Trung bình,"RGB(255,255,0)"
QLPH052016,105.59,9.56,0.32,15/6/2016,7.12,0.02,0.018,0.016,0.018,0.029,0.012,0.017,0.005,0.003,0.012,0.002,0.014,0.001,5.718,25,7.8,17.649,14.022,0.28,0.25,0.3,0.0,2400.0,17,78,,Tốt,"RGB(0,228,0)"
QLPH062016,105.46,9.44,0.44,29/2/2016,7.33,0.022,0.028,0.027,0.032,0.025,0.013,0.015,0.005,0.002,0.016,0.005,0.028,0.001,4.945,25,7.12,16.804,12.597,0.863,0.18,0.41,0.0,5400.0,35,36,,Xấu,"RGB(255,126,0)"
QLPH062016,105.46,9.44,0.44,15/3/2016,7.53,0.022,0.021,0.02,0.024,0.027,0.013,0.018,0.004,0.001,0.014,0.007,0.017,0.002,6.008,25,6.63,17.702,14.474,0.32,0.13,0.34,0.0,6900.0,21,32,,Xấu,"RGB(255,126,0)"
QLPH062016,105.46,9.44,0.44,2/4/2016,7.58,0.019,0.039,0.036,0.044,0.028,0.011,0.016,0.006,0.002,0.011,0.003,0.055,0.002,5.42,25,8.6,19.733,14.233,0.129,0.18,0.28,0.0,2800.0,69,32,,Xấu,"RGB(255,126,0)"
QLPH062016,105.46,9.44,0.44,15/4/2016,7.53,0.019,0.019,0.016,0.02,0.032,0.011,0.02,0.006,0.001,0.008,0.002,0.02,0.002,6.758,25,8.8,20.173,16.378,0.1,0.12,0.2,0.0,2100.0,25,63,,Trung bình,"RGB(255,255,0)"
QLPH062016,105.46,9.44,0.44,2/5/2016,7.82,0.02,0.036,0.035,0.042,0.029,0.012,0.018,0.005,0.001,0.006,0.01,0.051,0.002,6.043,25,7.67,20.071,15.273,0.85,0.12,0.14,0.0,9500.0,64,24,,Kém,"RGB(255,0,0)"
QLPH062016,105.46,9.44,0.44,16/5/2016,7.31,0.021,0.045,0.042,0.047,0.037,0.013,0.016,0.007,0.01,0.008,0.002,0.063,0.001,5.203,25,9.0,19.996,13.99,0.79,0.96,0.2,0.0,2100.0,79,36,,Xấu,"RGB(255,126,0)"
QLPH062016,105.46,9.44,0.44,2/6/2016,6.86,0.019,0.033,0.031,0.038,0.029,0.011,0.019,0.005,0.001,0.012,0.001,0.046,0.001,6.215,25,7.45,19.991,15.507,0.1,0.11,0.3,0.0,1100.0,58,40,,Xấu,"RGB(255,126,0)"
QLPH062016,105.46,9.44,0.44,15/6/2016,7.01,0.024,0.023,0.021,0.024,0.031,0.014,0.018,0.006,0.004,0.011,0.009,0.017,0.001,5.863,25,8.34,18.322,14.452,0.94,0.35,0.28,0.0,9200.0,21,33,,Xấu,"RGB(255,126,0)"
QLPH072016,105.36,9.34,0.25,29/2/2016,7.65,0.021,0.018,0.017,0.017,0.031,0.012,0.017,0.004,0.006,0.012,0.003,0.011,0.002,5.663,25,6.35,16.71,13.644,0.763,0.56,0.29,0.0,3300.0,14,62,,Trung bình,"RGB(255,255,0)"
QLPH072016,105.36,9.34,0.25,15/3/2016,7.79,0.022,0.031,0.03,0.034,0.031,0.013,0.017,0.003,0.005,0.013,0.005,0.034,0.002,5.81,25,5.9,17.933,14.251,0.18,0.54,0.32,0.0,5400.0,43,33,,Xấu,"RGB(255,126,0)"
QLPH072016,105.36,9.34,0.25,2/4/2016,7.77,0.026,0.05,0.048,0.058,0.028,0.016,0.016,0.005,0.003,0.02,0.008,0.063,0.002,5.393,25,7.62,19.614,14.154,0.115,0.313,0.5,0.0,8100.0,79,25,,Kém,"RGB(255,0,0)"
QLPH072016,105.36,9.34,0.25,15/4/2016,7.76,0.026,0.046,0.045,0.051,0.038,0.015,0.02,0.005,0.008,0.014,0.005,0.061,0.002,6.553,25,7.36,21.244,16.408,0.5,0.78,0.35,0.0,5200.0,76,28,,Xấu,"RGB(255,126,0)"
QLPH072016,105.36,9.34,0.25,2/5/2016,7.88,0.021,0.028,0.027,0.028,0.036,0.012,0.017,0.005,0.009,0.009,0.001,0.033,0.002,5.795,25,7.02,18.385,14.371,0.2,0.88,0.23,0.0,1100.0,41,35,,Xấu,"RGB(255,126,0)"
QLPH072016,105.36,9.34,0.25,16/5/2016,7.7,0.02,0.014,0.012,0.009,0.037,0.012,0.018,0.006,0.008,0.006,0.002,0.006,0.002,5.975,25,8.0,17.751,14.441,0.64,0.84,0.15,0.0,1700.0,7,61,,Trung bình,"RGB(255,255,0)"
QLPH072016,105.36,9.34,0.25,2/6/2016,7.29,0.018,0.018,0.015,0.017,0.028,0.011,0.014,0.006,0.003,0.01,0.003,0.014,0.001,4.823,25,8.98,16.785,12.407,0.86,0.28,0.25,0.0,2500.0,17,73,,Trung bình,"RGB(255,255,0)"
QLPH072016,105.36,9.34,0.25,15/6/2016,7.52,0.019,0.023,0.02,0.024,0.025,0.011,0.014,0.007,0.002,0.014,0.002,0.021,0.002,4.505,25,9.0,16.654,11.89,0.55,0.16,0.36,0.0,2100.0,26,33,,Xấu,"RGB(255,126,0)"
QLPH082016,105.3,9.28,0.31,29/2/2016,7.96,0.023,0.029,0.027,0.033,0.033,0.014,0.021,0.006,0.002,0.015,0.001,0.034,0.002,6.865,25,8.11,20.752,16.722,0.738,0.23,0.38,0.0,1300.0,43,31,,Xấu,"RGB(255,126,0)"
QLPH082016,105.3,9.28,0.31,15/3/2016,7.83,0.023,0.04,0.039,0.046,0.032,0.014,0.02,0.004,0.004,0.016,0.001,0.055,0.002,6.683,25,6.16,20.564,16.389,0.41,0.4,0.41,0.0,1100.0,69,33,,Xấu,"RGB(255,126,0)"
QLPH082016,105.3,9.28,0.31,2/4/2016,7.61,0.025,0.055,0.053,0.063,0.032,0.015,0.017,0.006,0.005,0.017,0.006,0.076,0.002,5.503,25,8.64,20.97,14.747,0.145,0.463,0.42,0.0,6400.0,95,26,,Xấu,"RGB(255,126,0)"
QLPH082016,105.3,9.28,0.31,15/4/2016,7.65,0.022,0.038,0.036,0.041,0.035,0.013,0.018,0.006,0.007,0.011,0.002,0.051,0.002,5.963,25,8.33,20.271,15.216,0.4,0.66,0.28,0.0,1700.0,64,31,,Xấu,"RGB(255,126,0)"
QLPH082016,105.3,9.28,0.31,2/5/2016,7.87,0.022,0.029,0.028,0.03,0.034,0.013,0.017,0.005,0.007,0.008,0.006,0.033,0.002,5.793,25,7.34,18.541,14.416,0.23,0.69,0.2,0.0,6400.0,41,31,,Xấu,"RGB(255,126,0)"
QLPH082016,105.3,9.28,0.31,16/5/2016,7.71,0.02,0.043,0.042,0.048,0.033,0.012,0.017,0.004,0.007,0.01,0.001,0.063,0.002,5.753,25,6.75,19.764,14.742,0.66,0.7,0.26,0.0,1400.0,79,32,,Xấu,"RGB(255,126,0)"
QLPH082016,105.3,9.28,0.31,2/6/2016,7.31,0.022,0.042,0.04,0.046,0.032,0.013,0.016,0.007,0.005,0.016,0.002,0.055,0.001,5.278,25,9.01,19.706,14.011,0.12,0.5,0.39,0.0,1800.0,69,38,,Xấu,"RGB(255,126,0)"
QLPH082016,105.3,9.28,0.31,15/6/2016,7.55,0.02,0.026,0.024,0.027,0.029,0.012,0.014,0.006,0.005,0.011,0.004,0.026,0.002,4.625,25,8.42,16.851,12.132,0.7,0.53,0.27,0.0,4300.0,33,31,,Xấu,"RGB(255,126,0)"
QLPH092016,105.16,9.18,0.36,29/2/2016,7.51,0.026,0.031,0.028,0.032,0.028,0.015,0.013,0.006,0.005,0.018,0.009,0.022,0.002,4.203,25,8.65,16.071,11.252,0.125,0.54,0.45,0.0,9200.0,28,28,,Xấu,"RGB(255,126,0)"
QLPH092016,105.16,9.18,0.36,15/3/2016,7.59,0.02,0.041,0.039,0.046,0.031,0.012,0.016,0.006,0.005,0.012,0.002,0.058,0.002,5.31,25,8.23,19.494,13.993,0.75,0.45,0.31,0.0,1800.0,72,30,,Xấu,"RGB(255,126,0)"
QLPH092016,105.16,9.18,0.36,2/4/2016,7.64,0.023,0.022,0.02,0.022,0.032,0.014,0.017,0.005,0.005,0.018,0.002,0.014,0.002,5.735,25,7.74,17.689,14.061,0.221,0.463,0.46,0.0,1500.0,18,35,,Xấu,"RGB(255,126,0)"
QLPH092016,105.16,9.18,0.36,15/4/2016,7.64,0.024,0.02,0.017,0.018,0.035,0.014,0.017,0.007,0.006,0.016,0.002,0.009,0.002,5.81,25,9.12,18.21,14.338,0.12,0.58,0.4,0.0,2200.0,11,61,,Trung bình,"RGB(255,255,0)"
QLPH092016,105.16,9.18,0.36,2/5/2016,7.81,0.025,0.046,0.043,0.05,0.034,0.015,0.016,0.007,0.006,0.011,0.01,0.058,0.002,5.403,25,9.48,20.269,14.376,0.13,0.6,0.28,0.0,9500.0,72,24,,Kém,"RGB(255,0,0)"
QLPH092016,105.16,9.18,0.36,16/5/2016,7.48,0.023,0.019,0.017,0.016,0.036,0.014,0.017,0.006,0.009,0.014,0.002,0.009,0.001,5.508,25,8.28,17.298,13.597,0.73,0.85,0.34,0.0,1500.0,11,72,,Trung bình,"RGB(255,255,0)"
QLPH092016,105.16,9.18,0.36,2/6/2016,7.29,0.022,0.048,0.045,0.053,0.031,0.013,0.013,0.007,0.006,0.016,0.001,0.065,0.001,4.448,25,9.7,19.202,12.607,0.93,0.6,0.41,0.0,1400.0,81,35,,Xấu,"RGB(255,126,0)"
QLPH092016,105.16,9.18,0.36,15/6/2016,7.5,0.022,0.027,0.025,0.028,0.028,0.013,0.014,0.006,0.005,0.018,0.003,0.022,0.002,4.5,25,8.34,16.399,11.802,0.64,0.5,0.45,0.0,2500.0,28,33,,Xấu,"RGB(255,126,0)"
QLPH102016,105.23,9.36,0.19,29/2/2016,7.56,0.022,0.034,0.033,0.036,0.032,0.013,0.014,0.005,0.009,0.013,0.003,0.039,0.002,4.74,25,7.06,17.024,12.359,0.838,0.89,0.32,0.0,3300.0,49,31,,Xấu,"RGB(255,126,0)"
QLPH102016,105.23,9.36,0.19,15/3/2016,7.64,0.017,0.037,0.036,0.042,0.027,0.01,0.015,0.004,0.004,0.007,0.004,0.055,0.002,5.06,25,6.64,18.168,13.2,0.3,0.39,0.17,0.0,4100.0,69,32,,Xấu,"RGB(255,126,0)"
QLPH102016,105.23,9.36,0.19,2/4/2016,7.74,0.021,0.044,0.041,0.05,0.028,0.013,0.016,0.006,0.003,0.011,0.007,0.061,0.002,5.273,25,8.2,19.584,13.965,0.181,0.25,0.28,0.0,6900.0,76,27,,Xấu,"RGB(255,126,0)"
QLPH102016,105.23,9.36,0.19,15/4/2016,7.56,0.02,0.016,0.014,0.015,0.033,0.012,0.018,0.006,0.004,0.012,0.001,0.01,0.002,6.165,25,8.14,18.338,14.911,0.6,0.41,0.29,0.0,1100.0,12,60,,Trung bình,"RGB(255,255,0)"
QLPH102016,105.23,9.36,0.19,2/5/2016,7.87,0.02,0.031,0.029,0.035,0.029,0.012,0.017,0.005,0.003,0.007,0.01,0.038,0.002,5.793,25,7.22,18.773,14.489,0.2,0.26,0.17,0.0,9500.0,48,27,,Xấu,"RGB(255,126,0)"
QLPH102016,105.23,9.36,0.19,16/5/2016,7.56,0.018,0.016,0.013,0.016,0.028,0.011,0.017,0.006,0.001,0.011,0.002,0.011,0.002,5.565,25,8.67,17.711,13.813,0.71,0.1,0.27,0.0,2200.0,14,60,,Trung bình,"RGB(255,255,0)"
QLPH102016,105.23,9.36,0.19,2/6/2016,7.36,0.025,0.028,0.026,0.029,0.034,0.015,0.017,0.007,0.005,0.016,0.004,0.025,0.001,5.74,25,9.45,19.094,14.512,0.44,0.5,0.39,0.0,4300.0,31,37,,Xấu,"RGB(255,126,0)"
QLPH102016,105.23,9.36,0.19,15/6/2016,7.41,0.022,0.023,0.02,0.024,0.028,0.013,0.016,0.007,0.001,0.019,0.001,0.017,0.001,5.49,25,9.08,18.086,13.819,0.51,0.12,0.48,0.0,1300.0,21,40,,Xấu,"RGB(255,126,0)"
QLPH112016,105.32,9.51,0.33,29/2/2016,7.42,0.021,0.02,0.018,0.02,0.024,0.013,0.011,0.005,0.004,0.016,0.005,0.01,0.001,3.73,25,7.98,14.301,9.986,0.413,0.41,0.4,0.0,5400.0,12,71,,Trung bình,"RGB(255,255,0)"
QLPH112016,105.32,9.51,0.33,15/3/2016,7.52,0.02,0.018,0.016,0.019,0.025,0.012,0.014,0.005,0.002,0.014,0.003,0.01,0.002,4.805,25,7.03,15.615,12.012,0.47,0.23,0.36,0.0,3400.0,13,61,,Trung bình,"RGB(255,255,0)"
QLPH112016,105.32,9.51,0.33,2/4/2016,7.46,0.026,0.048,0.046,0.053,0.034,0.015,0.015,0.006,0.007,0.017,0.005,0.061,0.001,5.128,25,8.8,19.649,13.768,0.439,0.725,0.43,0.0,5400.0,76,33,,Xấu,"RGB(255,126,0)"
QLPH112016,105.32,9.51,0.33,15/4/2016,7.67,0.028,0.041,0.039,0.043,0.04,0.017,0.02,0.006,0.008,0.014,0.008,0.046,0.002,6.53,25,8.8,21.178,16.354,0.5,0.82,0.34,0.0,7600.0,58,26,,Xấu,"RGB(255,126,0)"
QLPH112016,105.32,9.51,0.33,2/5/2016,7.65,0.02,0.033,0.031,0.038,0.031,0.012,0.019,0.006,0.002,0.012,0.001,0.046,0.002,6.263,25,8.2,20.443,15.721,0.3,0.21,0.3,0.0,700.0,58,32,,Xấu,"RGB(255,126,0)"
QLPH112016,105.32,9.51,0.33,16/5/2016,7.42,0.026,0.025,0.022,0.024,0.034,0.016,0.017,0.006,0.006,0.018,0.004,0.014,0.001,5.718,25,8.7,18.141,14.177,0.32,0.61,0.45,0.0,4300.0,18,39,,Xấu,"RGB(255,126,0)"
QLPH112016,105.32,9.51,0.33,2/6/2016,7.42,0.025,0.025,0.023,0.027,0.028,0.015,0.015,0.007,0.002,0.022,0.003,0.017,0.001,5.08,25,9.62,17.69,13.079,0.8,0.2,0.56,0.0,2500.0,21,38,,Xấu,"RGB(255,126,0)"
QLPH112016,105.32,9.51,0.33,15/6/2016,7.48,0.022,0.024,0.022,0.025,0.031,0.013,0.017,0.007,0.003,0.015,0.002,0.022,0.001,5.733,25,9.37,18.917,14.445,0.44,0.29,0.37,0.0,1800.0,28,40,,Xấu,"RGB(255,126,0)"
QLPH012017,105.68,9.3,0.64,1/3/2017,7.81,0.021,0.021,0.02,0.024,0.028,0.012,0.018,0.005,0.001,0.014,0.004,0.019,0.002,5.928,25,7.12,17.942,14.43,0.975,0.125,0.36,0.0,3500.0,24,32,,Xấu,"RGB(255,126,0)"
QLPH012017,105.68,9.3,0.64,16/3/2017,8.22,0.02,0.033,0.031,0.035,0.034,0.012,0.019,0.005,0.005,0.008,0.004,0.043,0.002,6.33,25,7.8,20.186,15.741,0.513,0.5,0.2,0.0,3500.0,54,31,,Xấu,"RGB(255,126,0)"
QLPH012017,105.68,9.3,0.64,1/4/2017,7.15,0.017,0.023,0.022,0.026,0.022,0.01,0.013,0.005,0.001,0.013,0.001,0.026,0.001,4.413,25,7.1,15.845,11.496,0.288,0.14,0.32,0.0,1100.0,33,43,,Xấu,"RGB(255,126,0)"
QLPH012017,105.68,9.3,0.64,15/4/2017,7.72,0.018,0.027,0.026,0.03,0.028,0.011,0.016,0.005,0.004,0.009,0.002,0.034,0.002,5.17,25,7.06,17.473,13.146,0.288,0.4,0.23,0.0,2400.0,43,35,,Xấu,"RGB(255,126,0)"
QLPH012017,105.68,9.3,0.64,1/5/2017,8.59,0.019,0.024,0.023,0.026,0.028,0.011,0.015,0.004,0.005,0.008,0.005,0.026,0.002,5.11,25,6.73,16.794,12.841,0.538,0.463,0.2,0.0,5400.0,33,30,,Xấu,"RGB(255,126,0)"
QLPH012017,105.68,9.3,0.64,15/5/2017,7.53,0.02,0.019,0.017,0.021,0.026,0.012,0.016,0.005,0.002,0.014,0.004,0.014,0.002,5.303,25,7.62,16.885,13.159,0.625,0.165,0.36,0.0,3500.0,17,60,,Trung bình,"RGB(255,255,0)"
